accuracy,compute_energy,communication_energy,total_energy
0.0733,0.26839999999999997,0.18959499999999999,0.457995
0.6175,0.1917,0.1435505,0.3352505
0.705,0.25179999999999997,0.178761,0.43056099999999997
0.8064,0.23729999999999998,0.1706355,0.40793549999999995
0.8278,0.266,0.17876099999999998,0.444761
0.8524,0.1701,0.13542500000000002,0.305525
0.8632,0.24469999999999997,0.178761,0.423461
0.8748,0.1316,0.10833999999999999,0.23993999999999996
0.8763,0.2157,0.16251000000000002,0.37821
0.8811,0.23729999999999998,0.17063549999999997,0.40793549999999995
0.8852,0.2036,0.16521850000000002,0.36881849999999994
0.8872,0.26130000000000003,0.189595,0.450895
0.8907,0.27099999999999996,0.17605249999999997,0.44705249999999996
0.8928,0.2133,0.15167599999999998,0.36497599999999997
0.8962,0.18669999999999998,0.14625899999999997,0.33295899999999995
0.8965,0.2829,0.1977205,0.48062049999999995
0.9,0.2207,0.1598015,0.3805015
0.8989,0.1701,0.135425,0.305525
0.9011,0.31189999999999996,0.2139715,0.5258715
0.9033,0.20120000000000002,0.15438449999999998,0.3555845
0.903,0.22280000000000003,0.16251000000000002,0.38531000000000004
0.9034,0.2589,0.17876100000000003,0.437661
0.9053,0.1796,0.14625900000000003,0.325859
0.906,0.1677,0.124591,0.29229099999999997
0.906,0.18929999999999997,0.1327165,0.3220165
0.9056,0.13399999999999998,0.11917400000000002,0.25317399999999995
0.9071,0.26389999999999997,0.17605249999999997,0.43995249999999997
0.9091,0.17719999999999997,0.135425,0.312625
0.9084,0.1651,0.1381335,0.30323349999999993
0.9088,0.22069999999999995,0.15980149999999999,0.38050149999999994
0.9102,0.23989999999999997,0.157093,0.396993
0.9111,0.2062,0.15167599999999998,0.35787599999999997
0.9112,0.13159999999999997,0.10833999999999999,0.23993999999999993
0.9117,0.2373,0.17063550000000002,0.4079355
0.9114,0.1651,0.1381335,0.3032335
0.9113,0.1582,0.113757,0.271957
0.9134,0.2444,0.1706355,0.4150355
0.9139,0.2879,0.195012,0.48291199999999995
0.9121,0.1798,0.12188249999999999,0.30168249999999996
0.9133,0.25889999999999996,0.178761,0.43766099999999997
0.9137,0.1677,0.124591,0.29229099999999997
0.9137,0.1722,0.13813349999999996,0.31033349999999993
0.914,0.158,0.13813350000000002,0.29613349999999994
0.9144,0.182,0.157093,0.339093
0.9133,0.2207,0.1598015,0.38050149999999994
0.915,0.2254,0.14896749999999997,0.3743675
0.9135,0.1772,0.135425,0.312625
0.9152,0.18200000000000002,0.15709300000000004,0.33909300000000003
0.9153,0.19169999999999998,0.1435505,0.33525049999999995
0.9159,0.25179999999999997,0.17876099999999998,0.43056099999999997
0.916,0.14369999999999997,0.10563149999999999,0.24933149999999998
0.916,0.23729999999999998,0.17063549999999997,0.40793549999999995
0.9141,0.1725,0.146259,0.31875899999999996
0.9177,0.2758,0.19772049999999997,0.47352049999999996
0.9167,0.22779999999999997,0.1598015,0.3876015
0.9161,0.2107,0.1652185,0.3759185
0.9182,0.1651,0.13813350000000002,0.3032335
0.9158,0.15319999999999998,0.11646549999999999,0.2696655
0.9158,0.2805,0.18688649999999998,0.4673865
0.9165,0.18669999999999998,0.14625899999999997,0.33295899999999995
0.9178,0.18669999999999998,0.146259,0.33295899999999995
0.9174,0.1582,0.113757,0.271957
0.9177,0.1556,0.1272995,0.28289949999999997
0.9186,0.28790000000000004,0.195012,0.48291199999999995
0.9175,0.2228,0.16251000000000004,0.38531000000000004
0.9194,0.1988,0.1435505,0.3423505
0.9183,0.20829999999999999,0.15438449999999998,0.3626845
0.9194,0.1411,0.11917399999999999,0.26027399999999995
0.9188,0.2542,0.189595,0.443795
0.9182,0.2373,0.1706355,0.4079355
0.9191,0.15560000000000002,0.1272995,0.28289949999999997
0.9188,0.1822,0.13271650000000002,0.3149165
0.9187,0.25179999999999997,0.178761,0.43056099999999997
0.9174,0.12209999999999999,0.097506,0.219606
0.9195,0.1772,0.135425,0.31262500000000004
0.9191,0.1722,0.1381335,0.31033350000000004
0.9202,0.22519999999999998,0.173344,0.398544
0.9196,0.1867,0.14625899999999997,0.33295899999999995
0.9169,0.18929999999999997,0.1327165,0.3220165
0.9188,0.2784,0.18417799999999998,0.46257799999999993
0.9203,0.23279999999999998,0.15709299999999998,0.38989299999999993
0.9186,0.19169999999999998,0.1435505,0.3352505
0.9193,0.14159999999999998,0.10292300000000001,0.244523
0.92,0.23729999999999998,0.1706355,0.4079355
0.918,0.2734,0.1868865,0.4602865
0.9191,0.2231,0.1706355,0.39373549999999996
0.9201,0.21569999999999998,0.16251,0.37820999999999994
0.9192,0.15109999999999998,0.11375700000000001,0.26485699999999995
0.9185,0.2518,0.17876099999999998,0.4305609999999999
0.9201,0.17959999999999998,0.146259,0.32585899999999995
0.9209,0.1822,0.1327165,0.3149165
0.9204,0.2734,0.18688649999999998,0.46028649999999993
0.9214,0.2447,0.178761,0.423461
0.9195,0.14109999999999998,0.119174,0.26027399999999995
0.9197,0.1245,0.10834,0.23284
0.9209,0.13659999999999997,0.1056315,0.2422315
0.919,0.2423,0.167927,0.41022699999999995
0.9207,0.2494,0.167927,0.417327
0.9206,0.2133,0.15167599999999998,0.364976
0.9202,0.21569999999999998,0.16251000000000002,0.37821
